source,destination,median_delay_ratio,pct_delayed,volume,median_actual_time,median_osrm_time,is_chronic,delay_volume_score
IND206001AAA,IND000000ACB,1.3928571428571428,0.6186770428015564,257,34.0,23.0,1,357.9642857142857
IND306401AAB,IND302014AAA,1.6470588235294117,0.8894009216589862,217,28.0,17.0,1,357.4117647058823
IND500010AAB,IND501359AAE,2.0,0.96,175,21.0,10.0,1,350.0
IND472001AAA,IND485001AAC,2.25,0.9870967741935484,155,40.0,18.0,1,348.75
IND431517AAB,IND411033AAA,2.2857142857142856,0.9210526315789473,152,46.0,18.0,1,347.4285714285714
IND201301AAM,IND000000ACB,1.6666666666666667,0.8454106280193237,207,17.0,12.0,1,345.0
IND403726AAA,IND411033AAA,1.5,0.7903930131004366,229,30.0,19.0,1,343.5
IND400072AAB,IND400015AAA,2.875,0.923728813559322,118,23.5,9.0,1,339.25
IND210501AAB,IND209304AAA,2.4,0.8581560283687943,141,20.0,8.0,1,338.4
IND516115AAA,IND517501AAB,2.4285714285714284,1.0,136,17.0,7.0,1,330.2857142857143
IND208012AAA,IND209304AAA,10.0,0.9696969696969697,33,158.0,8.0,1,330.0
IND110044AAB,IND131028AAB,1.6428571428571428,0.76,200,16.0,11.0,1,328.57142857142856
IND842001AAA,IND854326AAB,1.5714285714285714,0.9712918660287081,209,30.0,18.0,1,328.42857142857144
IND457226AAA,IND382430AAB,1.5625,0.8413461538461539,208,35.0,21.0,1,325.0
IND600056AAB,IND600008AAC,2.0,0.9625,160,14.5,7.0,1,320.0
IND781018AAB,IND712311AAA,2.142857142857143,0.9865771812080537,149,54.0,20.0,1,319.2857142857143
IND263153AAB,IND131028AAB,1.7,0.8716577540106952,187,36.0,22.0,1,317.9
IND400072AAB,IND000000AFT,2.3636363636363638,0.9850746268656716,134,23.5,9.5,1,316.72727272727275
IND413401AAA,IND411033AAA,1.6923076923076923,0.839572192513369,187,29.0,19.0,1,316.46153846153845
IND121004AAB,IND000000ACB,1.6666666666666667,0.9312169312169312,189,19.0,12.0,1,315.0
IND560099AAB,IND683511AAA,1.3888888888888888,0.7309417040358744,223,34.0,24.0,1,309.72222222222223
IND395023AAA,IND382430AAB,1.5263157894736843,0.9054726368159204,201,30.0,19.0,1,306.7894736842105
IND000000ACB,IND122001AAA,1.3636363636363635,0.6383928571428571,224,14.0,9.0,1,305.45454545454544
IND110037AAK,IND000000ACB,1.7142857142857142,0.8813559322033898,177,17.0,9.0,1,303.4285714285714
IND423701AAB,IND422011AAD,1.6833333333333333,0.8444444444444444,180,14.0,9.0,1,303.0
IND302014AAA,IND000000ACB,1.5333333333333334,0.8426395939086294,197,30.0,22.0,1,302.06666666666666
IND845305AAA,IND842001AAA,2.6666666666666665,0.9469026548672567,113,49.0,18.0,1,301.3333333333333
IND000000ACB,IND121004AAB,1.625,0.8702702702702703,185,18.0,11.0,1,300.625
IND302014AAA,IND313001AAB,1.6666666666666667,0.9832402234636871,179,31.0,18.0,1,298.33333333333337
IND600056AAB,IND562132AAA,1.4,0.7451923076923077,208,32.0,22.5,1,291.2
IND121004AAB,IND110037AAM,2.6333333333333333,0.990909090909091,110,20.0,10.0,1,289.6666666666667
IND110064AAA,IND000000ACB,1.25,0.5887445887445888,231,13.0,10.0,1,288.75
IND533106AAA,IND501359AAE,2.1176470588235294,1.0,136,35.0,17.0,1,288.0
IND614620AAA,IND630561AAA,1.8333333333333333,0.9936305732484076,157,12.0,7.0,1,287.8333333333333
IND400011AAA,IND400072AAD,2.6666666666666665,0.9626168224299065,107,23.0,10.0,1,285.3333333333333
IND585307AAB,IND585104AAA,2.6666666666666665,0.9719626168224299,107,23.0,9.0,1,285.3333333333333
IND421302AAG,IND400015AAB,2.0,0.9290780141843972,141,15.0,7.0,1,282.0
IND517583AAA,IND516101AAA,2.2,0.9921875,128,14.0,6.0,1,281.6
IND212402AAA,IND211002AAB,4.285714285714286,1.0,65,26.0,8.0,1,278.57142857142856
IND751002AAB,IND530012AAA,1.5714285714285714,0.8977272727272727,176,27.0,17.0,1,276.57142857142856
IND000000ACB,IND302022AAD,1.5294117647058822,0.8166666666666667,180,32.0,20.5,1,275.2941176470588
IND382430AAB,IND313001AAB,1.8421052631578947,0.9261744966442953,149,35.0,19.0,1,274.4736842105263
IND851127AAA,IND842001AAA,3.414285714285714,1.0,80,58.5,19.0,1,273.1428571428571
IND600056AAB,IND501359AAE,1.6956521739130435,0.9254658385093167,161,32.0,18.0,1,273.0
IND562132AAA,IND560083AAB,1.3636363636363635,0.6582914572864321,199,14.0,10.0,1,271.3636363636363
IND712311AAA,IND834002AAB,1.6,0.8047337278106509,169,36.0,21.0,1,270.40000000000003
IND000000ACT,IND131028AAB,1.541958041958042,0.6742857142857143,175,19.0,13.0,1,269.8426573426574
IND792130AAB,IND786001AAB,3.1180555555555554,1.0,86,19.0,8.5,1,268.15277777777777
IND501359AAE,IND500010AAB,1.875,0.9440559440559441,143,21.0,13.0,1,268.125
IND501359AAE,IND585104AAA,1.6,0.8083832335329342,167,33.0,18.0,1,267.2
IND122004AAA,IND122413AAE,1.5555555555555556,0.8245614035087719,171,14.0,9.0,1,266.0
IND395023AAA,IND411033AAA,1.7207792207792207,0.8506493506493507,154,40.5,24.0,1,265.0
IND313001AAB,IND382430AAB,1.8333333333333333,0.8732394366197183,142,37.0,19.0,1,260.3333333333333
IND501359AAE,IND413002AAA,1.9131944444444444,0.8897058823529411,136,38.0,16.0,1,260.19444444444446
IND450331AAA,IND452001AAC,2.25,0.9652173913043478,115,17.0,8.0,1,258.75
IND121002AAB,IND000000ACB,1.5833333333333333,0.7730061349693251,163,19.0,12.0,1,258.0833333333333
IND421302AAG,IND400072AAJ,2.3333333333333335,0.9272727272727272,110,18.5,8.0,1,256.6666666666667
IND832109AAB,IND834002AAB,2.41875,1.0,106,44.5,17.0,1,256.38750000000005
IND811399AAA,IND209304AAA,1.5,0.888235294117647,170,28.0,18.0,1,255.0
IND152026AAA,IND000000ACA,1.9166666666666667,0.9924812030075187,133,34.0,20.0,1,254.91666666666669
IND110037AAM,IND121004AAB,1.8465909090909092,0.8623188405797102,138,19.0,10.0,1,254.82954545454547
IND562132AAA,IND501359AAE,1.4409722222222223,0.7670454545454546,176,27.0,19.0,1,253.61111111111114
IND845455AAB,IND842001AAA,2.125,1.0,119,37.0,18.0,1,252.875
IND411033AAA,IND411014AAA,2.1,0.7583333333333333,120,21.0,10.0,1,252.0
IND852111AAA,IND854326AAB,2.9642857142857144,0.9642857142857143,84,59.0,24.0,1,249.0
IND712311AAA,IND700088AAA,3.0,0.9156626506024096,83,30.0,12.0,1,249.0
IND302022AAD,IND000000ACB,1.625,0.7712418300653595,153,12.0,7.0,1,248.625
IND177033AAA,IND160002AAC,1.75,0.823943661971831,142,42.0,24.0,1,248.5
IND209304AAA,IND211002AAB,1.3125,0.5396825396825397,189,24.0,18.0,1,248.0625
IND441912AAA,IND441107AAB,2.25,0.9727272727272728,110,16.0,8.0,1,247.5
IND249407AAA,IND131028AAB,2.0805626598465476,0.9914529914529915,117,55.0,27.0,1,243.42583120204608
IND606201AAC,IND605601AAA,1.6666666666666667,0.6438356164383562,146,16.0,9.0,1,243.33333333333334
IND562132AAA,IND600056AAB,1.3333333333333333,0.6813186813186813,182,33.0,24.0,1,242.66666666666666
IND283203AAA,IND110037AAM,1.8571428571428572,0.7692307692307693,130,38.0,23.5,1,241.42857142857144
IND785690AAB,IND785682AAA,3.4365079365079367,1.0,70,26.0,8.0,1,240.55555555555557
IND131028AAB,IND244001AAA,1.5789473684210527,0.6513157894736842,152,32.0,21.0,1,240.0
IND411033AAA,IND431136AAC,2.0,0.9833333333333333,120,34.0,17.0,1,240.0
IND160002AAC,IND000000ACA,1.8666666666666667,0.734375,128,29.0,15.0,1,238.93333333333334
IND390022AAA,IND395023AAA,1.625,0.9727891156462585,147,28.0,17.0,1,238.875
IND847226AAA,IND842001AAA,2.272727272727273,1.0,105,39.0,20.0,1,238.63636363636365
IND000000ACB,IND110085AAB,1.4444444444444444,0.7212121212121212,165,14.0,10.0,1,238.33333333333334
IND000000ACB,IND110037AAK,1.5,0.759493670886076,158,15.0,9.0,1,237.0
IND781018AAB,IND788026AAC,2.6,0.967032967032967,91,78.0,29.0,1,236.6
IND852139AAB,IND854326AAB,2.80625,0.9761904761904762,84,55.5,23.0,1,235.725
IND523002AAA,IND600056AAB,1.6666666666666667,0.8865248226950354,141,29.0,17.0,1,235.0
IND700136AAG,IND712310AAA,4.666666666666667,0.98,50,39.5,9.0,1,233.33333333333334
IND600056AAB,IND560099AAB,1.5714285714285714,0.831081081081081,148,31.0,21.0,1,232.57142857142856
IND211002AAB,IND209304AAA,1.6055555555555556,0.7430555555555556,144,28.0,17.0,1,231.20000000000002
IND110037AAM,IND202001AAB,1.52,0.8421052631578947,152,37.0,21.0,1,231.04
IND421302AAG,IND000000AFT,2.3,0.95,100,23.5,11.0,1,229.99999999999997
IND413002AAA,IND421302AAG,1.6,0.8321678321678322,143,32.0,19.0,1,228.8
IND586211AAA,IND585314AAA,1.6,0.8391608391608392,143,18.0,11.0,1,228.8
