hub_id,city,state,betweenness,in_degree,out_degree,degree,clustering,pagerank,closeness,avg_outgoing_delay,avg_incoming_delay,total_volume,norm_betweenness,norm_delay,norm_volume,norm_in_degree,norm_pagerank,bottleneck_score
IND571313AAB,Chamarjngr_BrDbleRd_D,Karnataka,0.0004,1,1,2,0.0,0.0005636337775845259,0.08599498327759197,1.3279569892473118,1.6742424242424243,40,0.0018086641021157546,0.06442328947607064,0.0010119881675229644,0.022222222222222223,0.04646506693928625,0.023809981354413614
IND261201AAB,Biswan_PatelNGR_D,Uttar Pradesh,0.0,0,1,1,0.0,0.00011911212088054774,0.0,1.6055555555555556,1.0,38,0.0,0.09437179794066182,0.0009600913384192226,0.0,0.0,0.0237849677528493
IND624703AAA,Gujiliam_Parai_D,Tamil Nadu,3.9879154078549855e-05,2,1,3,0.3333333333333333,0.0006924317799941056,0.002113526570048309,1.22,1.6749084249084247,10,0.0001803199860115405,0.05277643247215216,0.00023353573096683791,0.044444444444444446,0.059928095597961535,0.023741181263576043
IND415709AAA,Khed_Mahad_D,Maharashtra,0.0017208459214501511,1,2,3,0.0,0.000581158948349171,0.07610899133724003,1.2341411261582325,2.0488095238095236,74,0.007781080608497989,0.05430203702436883,0.0018942342622865743,0.022222222222222223,0.04829694221559913,0.023729650765305955
IND523230AAA,Kanigiri_Tiglgndi_D,Andhra Pradesh,0.0,1,1,2,1.0,0.0004338264539960597,0.11205061734838864,1.380952380952381,1.588235294117647,120,0.0,0.07014065667349789,0.003087861331672635,0.022222222222222223,0.03289653571300169,0.023664612228231394
IND363310AAB,Dhrangadhra_NvygRDPP_D,Gujarat,0.0013341389728096678,2,1,3,0.6666666666666666,0.0006035293638333015,0.1041575274110283,1.1619644723093,1.6410625332495044,77,0.006032523168386082,0.046515314068673104,0.001972079505942187,0.044444444444444446,0.05063528240050033,0.023642600211786317
IND441904AAB,Bhandara_RjnaiDPP_D,Maharashtra,0.0,0,1,1,0.0,0.00011911212088054774,0.0,1.6,1.0,36,0.0,0.09377244108953055,0.0009081945093154808,0.0,0.0,0.023624749174245733
IND622407AAA,Ponnamaravathi_Puduvalvu_D,Tamil Nadu,2.4217619529088387e-06,1,1,2,0.0,0.00044184093367580115,0.000966183574879227,1.3846153846153846,1.3484848484848484,56,1.0950384770239902e-05,0.07053583701490312,0.0014271628003528984,0.022222222222222223,0.03373427517785464,0.02351887418847363
IND303303AAA,Dausa_IndraCln_D,Rajasthan,2.9003021148036257e-05,2,1,3,0.3333333333333333,0.0005062391812360793,0.004256509956403912,1.25,1.2583333333333333,187,0.0001311418080083931,0.05601295946826099,0.004826405106647984,0.044444444444444446,0.040465710730057,0.023505436038647926
IND621010AAA,Thuraiyur_Mthrapuri_D,Tamil Nadu,0.0,1,1,2,0.0,0.00022036610271954817,0.0006038647342995169,1.4691666666666667,1.4880952380952381,54,0.0,0.07965758724538931,0.0013752659712491567,0.022222222222222223,0.010583900633555623,0.023470062291174945
IND636352AAA,Thoppur_HghsclRD_D,Tamil Nadu,0.0,0,1,1,0.0,0.00011911212088054774,0.0,1.6,1.0,5,0.0,0.09377244108953055,0.00010379365820748353,0.0,0.0,0.023463869004024134
IND752030AAA,Balugaon_Thikiri_D,Orissa,0.0,0,1,1,0.0,0.00011911212088054774,0.0,1.6,1.0,2,0.0,0.09377244108953055,2.594841455187088e-05,0.0,0.0,0.02344829995529301
IND403507AAA,Panaji,Goa,0.0,1,1,2,0.0,0.00044077480356604314,0.0016774020397208804,1.3868421052631579,1.1483516483516483,24,0.0,0.07077606506454683,0.0005968135346930303,0.022222222222222223,0.03362283447261835,0.02339788464255937
IND695614AAA,Kilimanoor_Krvnkuzy_D,Kerala,0.0013522658610271904,1,1,2,0.0,0.00047084164273158296,0.002122961956521739,1.2894736842105263,1.5,48,0.006114486798391327,0.06027154762103575,0.0012195754839379315,0.022222222222222223,0.03676566828827181,0.023350661432532893
